,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level
2613,2013,Sonora,M s de 10 s.m.,798385,351068,447317,3003437,2009774,993663,0,0,0
2614,2013,Sonora,M s de 2 hasta 3 s.m.,391248,372773,18475,3003437,2009774,993663,0,0,0
2615,2013,Sonora,M s de 3 hasta 5 s.m.,845830,477305,368525,3003437,2009774,993663,0,0,0
2616,2013,Sonora,M s de 5 hasta 10 s.m.,159204,113043,46161,3003437,2009774,993663,0,0,0
2617,2013,Sonora,No especificado,55452,33861,21591,3003437,2009774,993663,0,0,0
2618,2013,Sonora,No recibe ingresos,135142,122818,12324,3003437,2009774,993663,0,0,0
2619,2013,Tabasco,1 salario m¡nimo,187183,157202,29981,2213402,1708685,504717,0,0,0
2620,2013,Tabasco,Menos de 1 s.m.,581911,555770,26141,2213402,1708685,504717,0,0,0
2621,2013,Tabasco,M s de 1 hasta 2 s.m.,13536,9519,4017,2213402,1708685,504717,0,0,0
2622,2013,Tabasco,M s de 10 s.m.,641975,296472,345503,2213402,1708685,504717,0,0,0
2623,2013,Tabasco,M s de 2 hasta 3 s.m.,288975,280230,8745,2213402,1708685,504717,0,0,0
2624,2013,Tabasco,M s de 3 hasta 5 s.m.,231548,168330,63218,2213402,1708685,504717,0,0,0
2625,2013,Tabasco,M s de 5 hasta 10 s.m.,84756,69394,15362,2213402,1708685,504717,0,0,0
2626,2013,Tabasco,No especificado,17776,10460,7316,2213402,1708685,504717,0,0,0
2627,2013,Tabasco,No recibe ingresos,165742,161308,4434,2213402,1708685,504717,0,0,0
2628,2013,Tamaulipas,1 salario m¡nimo,72243,62419,9824,3624739,2478704,1146035,0,0,0
2629,2013,Tamaulipas,Menos de 1 s.m.,405818,376397,29421,3624739,2478704,1146035,0,0,0
2630,2013,Tamaulipas,M s de 1 hasta 2 s.m.,46282,38000,8282,3624739,2478704,1146035,0,0,0
2631,2013,Tamaulipas,M s de 10 s.m.,1056032,510910,545122,3624739,2478704,1146035,0,0,0
2632,2013,Tamaulipas,M s de 2 hasta 3 s.m.,474304,452697,21607,3624739,2478704,1146035,0,0,0
2633,2013,Tamaulipas,M s de 3 hasta 5 s.m.,1098306,674000,424306,3624739,2478704,1146035,0,0,0
2634,2013,Tamaulipas,M s de 5 hasta 10 s.m.,115687,79805,35882,3624739,2478704,1146035,0,0,0
2635,2013,Tamaulipas,No especificado,53712,27560,26152,3624739,2478704,1146035,0,0,0
2636,2013,Tamaulipas,No recibe ingresos,302355,256916,45439,3624739,2478704,1146035,0,0,0
2637,2013,Tlaxcala,1 salario m¡nimo,518,518,0,1373676,915072,458604,0,0,0
2638,2013,Tlaxcala,Menos de 1 s.m.,294658,261969,32689,1373676,915072,458604,0,0,0
2639,2013,Tlaxcala,M s de 1 hasta 2 s.m.,1822,1722,100,1373676,915072,458604,0,0,0
2640,2013,Tlaxcala,M s de 10 s.m.,339161,140628,198533,1373676,915072,458604,0,0,0
2641,2013,Tlaxcala,M s de 2 hasta 3 s.m.,164655,163831,824,1373676,915072,458604,0,0,0
2642,2013,Tlaxcala,M s de 3 hasta 5 s.m.,475717,259072,216645,1373676,915072,458604,0,0,0
2643,2013,Tlaxcala,M s de 5 hasta 10 s.m.,30897,25733,5164,1373676,915072,458604,0,0,0
2644,2013,Tlaxcala,No especificado,5771,4057,1714,1373676,915072,458604,0,0,0
2645,2013,Tlaxcala,No recibe ingresos,60477,57542,2935,1373676,915072,458604,0,0,0
2646,2013,Veracruz,1 salario m¡nimo,104800,83618,21182,8211589,6310752,1900837,0,0,0
2647,2013,Veracruz,Menos de 1 s.m.,3049070,2820676,228394,8211589,6310752,1900837,0,0,0
2648,2013,Veracruz,M s de 1 hasta 2 s.m.,62368,54551,7817,8211589,6310752,1900837,0,0,0
2649,2013,Veracruz,M s de 10 s.m.,1865331,730986,1134345,8211589,6310752,1900837,0,0,0
2650,2013,Veracruz,M s de 2 hasta 3 s.m.,1009605,990381,19224,8211589,6310752,1900837,0,0,0
2651,2013,Veracruz,M s de 3 hasta 5 s.m.,1282453,874929,407524,8211589,6310752,1900837,0,0,0
2652,2013,Veracruz,M s de 5 hasta 10 s.m.,212903,170202,42701,8211589,6310752,1900837,0,0,0
2653,2013,Veracruz,No especificado,60325,46861,13464,8211589,6310752,1900837,0,0,0
2654,2013,Veracruz,No recibe ingresos,564734,538548,26186,8211589,6310752,1900837,0,0,0
2655,2013,Yucat n,1 salario m¡nimo,5784,5784,0,2308383,1576384,731999,0,0,0
2656,2013,Yucat n,Menos de 1 s.m.,435799,408258,27541,2308383,1576384,731999,0,0,0
2657,2013,Yucat n,M s de 1 hasta 2 s.m.,18073,14185,3888,2308383,1576384,731999,0,0,0
2658,2013,Yucat n,M s de 10 s.m.,583919,250927,332992,2308383,1576384,731999,0,0,0
2659,2013,Yucat n,M s de 2 hasta 3 s.m.,327063,316662,10401,2308383,1576384,731999,0,0,0
2660,2013,Yucat n,M s de 3 hasta 5 s.m.,668502,352633,315869,2308383,1576384,731999,0,0,0
2661,2013,Yucat n,M s de 5 hasta 10 s.m.,103713,79592,24121,2308383,1576384,731999,0,0,0
2662,2013,Yucat n,No especificado,22134,16276,5858,2308383,1576384,731999,0,0,0
2663,2013,Yucat n,No recibe ingresos,143396,132067,11329,2308383,1576384,731999,0,0,0
2664,2013,Zacatecas,1 salario m¡nimo,44879,41843,3036,1541110,1154054,387056,0,0,0
2665,2013,Zacatecas,Menos de 1 s.m.,642394,570783,71611,1541110,1154054,387056,0,0,0
2666,2013,Zacatecas,M s de 1 hasta 2 s.m.,5318,4794,524,1541110,1154054,387056,0,0,0
2667,2013,Zacatecas,M s de 10 s.m.,386603,166090,220513,1541110,1154054,387056,0,0,0
2668,2013,Zacatecas,M s de 2 hasta 3 s.m.,164282,161071,3211,1541110,1154054,387056,0,0,0
2669,2013,Zacatecas,M s de 3 hasta 5 s.m.,215319,141320,73999,1541110,1154054,387056,0,0,0
2670,2013,Zacatecas,M s de 5 hasta 10 s.m.,38977,32103,6874,1541110,1154054,387056,0,0,0
2671,2013,Zacatecas,No especificado,10021,5980,4041,1541110,1154054,387056,0,0,0
2672,2013,Zacatecas,No recibe ingresos,33317,30070,3247,1541110,1154054,387056,0,0,0
2673,2014,Aguascalientes,1 salario m¡nimo,5946,5628,318,1203247,858513,344734,0,0,0
2674,2014,Aguascalientes,Menos de 1 s.m.,114684,108579,6105,1203247,858513,344734,0,0,0
2675,2014,Aguascalientes,M s de 1 hasta 2 s.m.,8373,6694,1679,1203247,858513,344734,0,0,0
2676,2014,Aguascalientes,M s de 10 s.m.,320177,158784,161393,1203247,858513,344734,0,0,0
2677,2014,Aguascalientes,M s de 2 hasta 3 s.m.,135677,127589,8088,1203247,858513,344734,0,0,0
2678,2014,Aguascalientes,M s de 3 hasta 5 s.m.,455568,314099,141469,1203247,858513,344734,0,0,0
2679,2014,Aguascalientes,M s de 5 hasta 10 s.m.,75168,59384,15784,1203247,858513,344734,0,0,0
2680,2014,Aguascalientes,No especificado,12434,8067,4367,1203247,858513,344734,0,0,0
2681,2014,Aguascalientes,No recibe ingresos,75220,69689,5531,1203247,858513,344734,0,0,0
2682,2014,Baja California,1 salario m¡nimo,6184,6184,0,3589626,2312756,1276870,0,0,0
2683,2014,Baja California,Menos de 1 s.m.,265863,203809,62054,3589626,2312756,1276870,0,0,0
2684,2014,Baja California,M s de 1 hasta 2 s.m.,35251,28129,7122,3589626,2312756,1276870,0,0,0
2685,2014,Baja California,M s de 10 s.m.,1014697,516811,497886,3589626,2312756,1276870,0,0,0
2686,2014,Baja California,M s de 2 hasta 3 s.m.,351674,337877,13797,3589626,2312756,1276870,0,0,0
2687,2014,Baja California,M s de 3 hasta 5 s.m.,1505613,889745,615868,3589626,2312756,1276870,0,0,0
2688,2014,Baja California,M s de 5 hasta 10 s.m.,162697,122759,39938,3589626,2312756,1276870,0,0,0
2689,2014,Baja California,No especificado,47484,29122,18362,3589626,2312756,1276870,0,0,0
2690,2014,Baja California,No recibe ingresos,200163,178320,21843,3589626,2312756,1276870,0,0,0
2691,2014,Baja California Sur,1 salario m¡nimo,15380,12118,3262,712133,503288,208845,0,0,0
2692,2014,Baja California Sur,Menos de 1 s.m.,155955,123907,32048,712133,503288,208845,0,0,0
2693,2014,Baja California Sur,M s de 1 hasta 2 s.m.,9571,7074,2497,712133,503288,208845,0,0,0
2694,2014,Baja California Sur,M s de 10 s.m.,224423,109636,114787,712133,503288,208845,0,0,0
2695,2014,Baja California Sur,M s de 2 hasta 3 s.m.,128049,122121,5928,712133,503288,208845,0,0,0
2696,2014,Baja California Sur,M s de 3 hasta 5 s.m.,88755,57458,31297,712133,503288,208845,0,0,0
2697,2014,Baja California Sur,M s de 5 hasta 10 s.m.,34166,24784,9382,712133,503288,208845,0,0,0
2698,2014,Baja California Sur,No especificado,8604,5486,3118,712133,503288,208845,0,0,0
2699,2014,Baja California Sur,No recibe ingresos,47230,40704,6526,712133,503288,208845,0,0,0
2700,2014,Campeche,1 salario m¡nimo,35721,26750,8971,967129,721575,245554,0,0,0
2701,2014,Campeche,Menos de 1 s.m.,298675,285160,13515,967129,721575,245554,0,0,0
2702,2014,Campeche,M s de 1 hasta 2 s.m.,6471,6050,421,967129,721575,245554,0,0,0
2703,2014,Campeche,M s de 10 s.m.,234167,97462,136705,967129,721575,245554,0,0,0
2704,2014,Campeche,M s de 2 hasta 3 s.m.,165491,156767,8724,967129,721575,245554,0,0,0
2705,2014,Campeche,M s de 3 hasta 5 s.m.,139886,71814,68072,967129,721575,245554,0,0,0
2706,2014,Campeche,M s de 5 hasta 10 s.m.,23144,19434,3710,967129,721575,245554,0,0,0
2707,2014,Campeche,No especificado,9715,7612,2103,967129,721575,245554,0,0,0
2708,2014,Campeche,No recibe ingresos,53859,50526,3333,967129,721575,245554,0,0,0
2709,2014,Chiapas,1 salario m¡nimo,21029,19255,1774,5352961,4321577,1031384,0,0,0
2710,2014,Chiapas,Menos de 1 s.m.,2880010,2757255,122755,5352961,4321577,1031384,0,0,0
2711,2014,Chiapas,M s de 1 hasta 2 s.m.,15808,13155,2653,5352961,4321577,1031384,0,0,0
2712,2014,Chiapas,M s de 10 s.m.,996927,403374,593553,5352961,4321577,1031384,0,0,0
2713,2014,Chiapas,M s de 2 hasta 3 s.m.,487176,478274,8902,5352961,4321577,1031384,0,0,0
2714,2014,Chiapas,M s de 3 hasta 5 s.m.,546393,285550,260843,5352961,4321577,1031384,0,0,0
2715,2014,Chiapas,M s de 5 hasta 10 s.m.,145919,112447,33472,5352961,4321577,1031384,0,0,0
2716,2014,Chiapas,No especificado,13004,9122,3882,5352961,4321577,1031384,0,0,0
2717,2014,Chiapas,No recibe ingresos,246695,243145,3550,5352961,4321577,1031384,0,0,0
2718,2014,Chihuahua,1 salario m¡nimo,93101,87706,5395,4024877,2832852,1192025,0,0,0
2719,2014,Chihuahua,Menos de 1 s.m.,581787,543424,38363,4024877,2832852,1192025,0,0,0
2720,2014,Chihuahua,M s de 1 hasta 2 s.m.,22562,17060,5502,4024877,2832852,1192025,0,0,0
2721,2014,Chihuahua,M s de 10 s.m.,867818,445284,422534,4024877,2832852,1192025,0,0,0
2722,2014,Chihuahua,M s de 2 hasta 3 s.m.,422996,406388,16608,4024877,2832852,1192025,0,0,0
2723,2014,Chihuahua,M s de 3 hasta 5 s.m.,1645520,1019428,626092,4024877,2832852,1192025,0,0,0
2724,2014,Chihuahua,M s de 5 hasta 10 s.m.,161058,114486,46572,4024877,2832852,1192025,0,0,0
2725,2014,Chihuahua,No especificado,44009,29233,14776,4024877,2832852,1192025,0,0,0
2726,2014,Chihuahua,No recibe ingresos,186026,169843,16183,4024877,2832852,1192025,0,0,0
2727,2014,Ciudad de Mxico,1 salario m¡nimo,5751,5751,0,7362300,4838264,2524036,0,0,0
2728,2014,Ciudad de Mxico,Menos de 1 s.m.,80594,61712,18882,7362300,4838264,2524036,0,0,0
2729,2014,Ciudad de Mxico,M s de 1 hasta 2 s.m.,54399,35306,19093,7362300,4838264,2524036,0,0,0
2730,2014,Ciudad de Mxico,M s de 10 s.m.,2928726,1487124,1441602,7362300,4838264,2524036,0,0,0
2731,2014,Ciudad de Mxico,M s de 2 hasta 3 s.m.,868962,805728,63234,7362300,4838264,2524036,0,0,0
2732,2014,Ciudad de Mxico,M s de 3 hasta 5 s.m.,1750451,1131899,618552,7362300,4838264,2524036,0,0,0
2733,2014,Ciudad de Mxico,M s de 5 hasta 10 s.m.,463017,313390,149627,7362300,4838264,2524036,0,0,0
2734,2014,Ciudad de Mxico,No especificado,291114,173208,117906,7362300,4838264,2524036,0,0,0
2735,2014,Ciudad de Mxico,No recibe ingresos,919286,824146,95140,7362300,4838264,2524036,0,0,0
2736,2014,Coahuila,1 salario m¡nimo,52223,47725,4498,3198238,2256622,941616,0,0,0
2737,2014,Coahuila,Menos de 1 s.m.,232605,212513,20092,3198238,2256622,941616,0,0,0
2738,2014,Coahuila,M s de 1 hasta 2 s.m.,23198,17407,5791,3198238,2256622,941616,0,0,0
2739,2014,Coahuila,M s de 10 s.m.,743330,327215,416115,3198238,2256622,941616,0,0,0
2740,2014,Coahuila,M s de 2 hasta 3 s.m.,389225,368919,20306,3198238,2256622,941616,0,0,0
2741,2014,Coahuila,M s de 3 hasta 5 s.m.,1364749,948833,415916,3198238,2256622,941616,0,0,0
2742,2014,Coahuila,M s de 5 hasta 10 s.m.,133321,104728,28593,3198238,2256622,941616,0,0,0
2743,2014,Coahuila,No especificado,41514,26375,15139,3198238,2256622,941616,0,0,0
2744,2014,Coahuila,No recibe ingresos,218073,202907,15166,3198238,2256622,941616,0,0,0
2745,2014,Colima,1 salario m¡nimo,7269,5226,2043,734543,505273,229270,0,0,0
2746,2014,Colima,Menos de 1 s.m.,154595,130993,23602,734543,505273,229270,0,0,0
2747,2014,Colima,M s de 1 hasta 2 s.m.,10518,9009,1509,734543,505273,229270,0,0,0
2748,2014,Colima,M s de 10 s.m.,201304,79845,121459,734543,505273,229270,0,0,0
2749,2014,Colima,M s de 2 hasta 3 s.m.,108868,104429,4439,734543,505273,229270,0,0,0
2750,2014,Colima,M s de 3 hasta 5 s.m.,114226,66601,47625,734543,505273,229270,0,0,0
2751,2014,Colima,M s de 5 hasta 10 s.m.,37427,28252,9175,734543,505273,229270,0,0,0
2752,2014,Colima,No especificado,8353,5872,2481,734543,505273,229270,0,0,0
2753,2014,Colima,No recibe ingresos,91983,75046,16937,734543,505273,229270,0,0,0
2754,2014,Durango,1 salario m¡nimo,43578,39712,3866,1801613,1331470,470143,0,0,0
2755,2014,Durango,Menos de 1 s.m.,461456,441089,20367,1801613,1331470,470143,0,0,0
2756,2014,Durango,M s de 1 hasta 2 s.m.,7863,6704,1159,1801613,1331470,470143,0,0,0
2757,2014,Durango,M s de 10 s.m.,448461,176396,272065,1801613,1331470,470143,0,0,0
2758,2014,Durango,M s de 2 hasta 3 s.m.,213137,206402,6735,1801613,1331470,470143,0,0,0
2759,2014,Durango,M s de 3 hasta 5 s.m.,440564,300446,140118,1801613,1331470,470143,0,0,0
2760,2014,Durango,M s de 5 hasta 10 s.m.,62045,47684,14361,1801613,1331470,470143,0,0,0
2761,2014,Durango,No especificado,16905,10869,6036,1801613,1331470,470143,0,0,0
2762,2014,Durango,No recibe ingresos,107604,102168,5436,1801613,1331470,470143,0,0,0
2763,2014,Estado de Mxico,1 salario m¡nimo,15223,12310,2913,16723509,11931579,4791930,0,0,0
2764,2014,Estado de Mxico,Menos de 1 s.m.,1287763,1190861,96902,16723509,11931579,4791930,0,0,0
2765,2014,Estado de Mxico,M s de 1 hasta 2 s.m.,78273,71499,6774,16723509,11931579,4791930,0,0,0
2766,2014,Estado de Mxico,M s de 10 s.m.,5335920,2624131,2711789,16723509,11931579,4791930,0,0,0
2767,2014,Estado de Mxico,M s de 2 hasta 3 s.m.,2320258,2260946,59312,16723509,11931579,4791930,0,0,0
2768,2014,Estado de Mxico,M s de 3 hasta 5 s.m.,4958248,3400682,1557566,16723509,11931579,4791930,0,0,0
2769,2014,Estado de Mxico,M s de 5 hasta 10 s.m.,721898,548976,172922,16723509,11931579,4791930,0,0,0
2770,2014,Estado de Mxico,No especificado,238913,173897,65016,16723509,11931579,4791930,0,0,0
2771,2014,Estado de Mxico,No recibe ingresos,1767013,1648277,118736,16723509,11931579,4791930,0,0,0
2772,2014,Guanajuato,1 salario m¡nimo,22835,22164,671,6337651,4400957,1936694,0,0,0
2773,2014,Guanajuato,Menos de 1 s.m.,1047275,936104,111171,6337651,4400957,1936694,0,0,0
2774,2014,Guanajuato,M s de 1 hasta 2 s.m.,25812,21099,4713,6337651,4400957,1936694,0,0,0
2775,2014,Guanajuato,M s de 10 s.m.,1568920,627690,941230,6337651,4400957,1936694,0,0,0
2776,2014,Guanajuato,M s de 2 hasta 3 s.m.,720372,694474,25898,6337651,4400957,1936694,0,0,0
2777,2014,Guanajuato,M s de 3 hasta 5 s.m.,2323411,1576889,746522,6337651,4400957,1936694,0,0,0
2778,2014,Guanajuato,M s de 5 hasta 10 s.m.,346114,269841,76273,6337651,4400957,1936694,0,0,0
2779,2014,Guanajuato,No especificado,35466,21854,13612,6337651,4400957,1936694,0,0,0
2780,2014,Guanajuato,No recibe ingresos,247446,230842,16604,6337651,4400957,1936694,0,0,0
2781,2014,Guerrero,1 salario m¡nimo,16566,11933,4633,3774360,2690694,1083666,0,0,0
2782,2014,Guerrero,Menos de 1 s.m.,1714208,1473846,240362,3774360,2690694,1083666,0,0,0
2783,2014,Guerrero,M s de 1 hasta 2 s.m.,19058,15497,3561,3774360,2690694,1083666,0,0,0
2784,2014,Guerrero,M s de 10 s.m.,804637,286081,518556,3774360,2690694,1083666,0,0,0
2785,2014,Guerrero,M s de 2 hasta 3 s.m.,378796,373035,5761,3774360,2690694,1083666,0,0,0
2786,2014,Guerrero,M s de 3 hasta 5 s.m.,517671,234093,283578,3774360,2690694,1083666,0,0,0
2787,2014,Guerrero,M s de 5 hasta 10 s.m.,98974,82204,16770,3774360,2690694,1083666,0,0,0
2788,2014,Guerrero,No especificado,13163,8839,4324,3774360,2690694,1083666,0,0,0
2789,2014,Guerrero,No recibe ingresos,211287,205166,6121,3774360,2690694,1083666,0,0,0
2790,2014,Hidalgo,1 salario m¡nimo,23328,20813,2515,2986317,2157468,828849,0,0,0
2791,2014,Hidalgo,Menos de 1 s.m.,918601,811119,107482,2986317,2157468,828849,0,0,0
2792,2014,Hidalgo,M s de 1 hasta 2 s.m.,13969,9034,4935,2986317,2157468,828849,0,0,0
2793,2014,Hidalgo,M s de 10 s.m.,710000,311251,398749,2986317,2157468,828849,0,0,0
2794,2014,Hidalgo,M s de 2 hasta 3 s.m.,368677,357038,11639,2986317,2157468,828849,0,0,0
2795,2014,Hidalgo,M s de 3 hasta 5 s.m.,675906,405440,270466,2986317,2157468,828849,0,0,0
2796,2014,Hidalgo,M s de 5 hasta 10 s.m.,104524,83684,20840,2986317,2157468,828849,0,0,0
2797,2014,Hidalgo,No especificado,15139,8937,6202,2986317,2157468,828849,0,0,0
2798,2014,Hidalgo,No recibe ingresos,156173,150152,6021,2986317,2157468,828849,0,0,0
2799,2014,Jalisco,1 salario m¡nimo,8102,8102,0,8127498,5556045,2571453,0,0,0
2800,2014,Jalisco,Menos de 1 s.m.,1292781,1174346,118435,8127498,5556045,2571453,0,0,0
2801,2014,Jalisco,M s de 1 hasta 2 s.m.,42386,31008,11378,8127498,5556045,2571453,0,0,0
2802,2014,Jalisco,M s de 10 s.m.,2473040,1131957,1341083,8127498,5556045,2571453,0,0,0
2803,2014,Jalisco,M s de 2 hasta 3 s.m.,938306,910351,27955,8127498,5556045,2571453,0,0,0
2804,2014,Jalisco,M s de 3 hasta 5 s.m.,2421547,1533160,888387,8127498,5556045,2571453,0,0,0
2805,2014,Jalisco,M s de 5 hasta 10 s.m.,442524,316242,126282,8127498,5556045,2571453,0,0,0
2806,2014,Jalisco,No especificado,98663,71203,27460,8127498,5556045,2571453,0,0,0
2807,2014,Jalisco,No recibe ingresos,410149,379676,30473,8127498,5556045,2571453,0,0,0
2808,2014,Michoac n,1 salario m¡nimo,5586,5586,0,5095078,3677373,1417705,0,0,0
2809,2014,Michoac n,Menos de 1 s.m.,1792670,1635859,156811,5095078,3677373,1417705,0,0,0
2810,2014,Michoac n,M s de 1 hasta 2 s.m.,33782,30726,3056,5095078,3677373,1417705,0,0,0
2811,2014,Michoac n,M s de 10 s.m.,1306055,498700,807355,5095078,3677373,1417705,0,0,0
2812,2014,Michoac n,M s de 2 hasta 3 s.m.,508189,498703,9486,5095078,3677373,1417705,0,0,0
2813,2014,Michoac n,M s de 3 hasta 5 s.m.,953582,579907,373675,5095078,3677373,1417705,0,0,0
2814,2014,Michoac n,M s de 5 hasta 10 s.m.,237443,196045,41398,5095078,3677373,1417705,0,0,0
2815,2014,Michoac n,No especificado,41493,25927,15566,5095078,3677373,1417705,0,0,0
2816,2014,Michoac n,No recibe ingresos,216278,205920,10358,5095078,3677373,1417705,0,0,0
2817,2014,Morelos,1 salario m¡nimo,3427,2710,717,1782604,1254858,527746,0,0,0
2818,2014,Morelos,Menos de 1 s.m.,336356,305126,31230,1782604,1254858,527746,0,0,0
2819,2014,Morelos,M s de 1 hasta 2 s.m.,12901,10946,1955,1782604,1254858,527746,0,0,0
2820,2014,Morelos,M s de 10 s.m.,581418,252963,328455,1782604,1254858,527746,0,0,0
2821,2014,Morelos,M s de 2 hasta 3 s.m.,274029,267084,6945,1782604,1254858,527746,0,0,0
2822,2014,Morelos,M s de 3 hasta 5 s.m.,346947,221670,125277,1782604,1254858,527746,0,0,0
2823,2014,Morelos,M s de 5 hasta 10 s.m.,67669,49902,17767,1782604,1254858,527746,0,0,0
2824,2014,Morelos,No especificado,24829,16615,8214,1782604,1254858,527746,0,0,0
2825,2014,Morelos,No recibe ingresos,135028,127842,7186,1782604,1254858,527746,0,0,0
2826,2014,Nacional,1 salario m¡nimo,916642,817899,98743,123163062,87442744,35720318,0,0,0
2827,2014,Nacional,Menos de 1 s.m.,27002193,24193898,2808295,123163062,87442744,35720318,0,0,0
2828,2014,Nacional,M s de 1 hasta 2 s.m.,738653,594948,143705,123163062,87442744,35720318,0,0,0
2829,2014,Nacional,M s de 10 s.m.,33103070,14859009,18244061,123163062,87442744,35720318,0,0,0
2830,2014,Nacional,M s de 2 hasta 3 s.m.,14896651,14374746,521905,123163062,87442744,35720318,0,0,0
2831,2014,Nacional,M s de 3 hasta 5 s.m.,31553514,20055093,11498421,123163062,87442744,35720318,0,0,0
2832,2014,Nacional,M s de 5 hasta 10 s.m.,5292961,3982533,1310428,123163062,87442744,35720318,0,0,0
2833,2014,Nacional,No especificado,1464593,969770,494823,123163062,87442744,35720318,0,0,0
2834,2014,Nacional,No recibe ingresos,8194785,7594848,599937,123163062,87442744,35720318,0,0,0
2835,2014,Nayarit,1 salario m¡nimo,1890,1828,62,1219708,859069,360639,0,0,0
2836,2014,Nayarit,Menos de 1 s.m.,406012,377433,28579,1219708,859069,360639,0,0,0
2837,2014,Nayarit,M s de 1 hasta 2 s.m.,8310,7177,1133,1219708,859069,360639,0,0,0
2838,2014,Nayarit,M s de 10 s.m.,370959,140936,230023,1219708,859069,360639,0,0,0
2839,2014,Nayarit,M s de 2 hasta 3 s.m.,139238,135010,4228,1219708,859069,360639,0,0,0
2840,2014,Nayarit,M s de 3 hasta 5 s.m.,159870,88017,71853,1219708,859069,360639,0,0,0
2841,2014,Nayarit,M s de 5 hasta 10 s.m.,58651,43835,14816,1219708,859069,360639,0,0,0
2842,2014,Nayarit,No especificado,12825,7344,5481,1219708,859069,360639,0,0,0
2843,2014,Nayarit,No recibe ingresos,61953,57489,4464,1219708,859069,360639,0,0,0
2844,2014,Nuevo Le¢n,1 salario m¡nimo,6857,5364,1493,5200087,3743640,1456447,0,0,0
2845,2014,Nuevo Le¢n,Menos de 1 s.m.,181919,169154,12765,5200087,3743640,1456447,0,0,0
2846,2014,Nuevo Le¢n,M s de 1 hasta 2 s.m.,47389,38802,8587,5200087,3743640,1456447,0,0,0
2847,2014,Nuevo Le¢n,M s de 10 s.m.,1314349,630179,684170,5200087,3743640,1456447,0,0,0
2848,2014,Nuevo Le¢n,M s de 2 hasta 3 s.m.,728082,683981,44101,5200087,3743640,1456447,0,0,0
2849,2014,Nuevo Le¢n,M s de 3 hasta 5 s.m.,2081965,1542502,539463,5200087,3743640,1456447,0,0,0
2850,2014,Nuevo Le¢n,M s de 5 hasta 10 s.m.,301803,219700,82103,5200087,3743640,1456447,0,0,0
2851,2014,Nuevo Le¢n,No especificado,99581,62137,37444,5200087,3743640,1456447,0,0,0
2852,2014,Nuevo Le¢n,No recibe ingresos,438142,391821,46321,5200087,3743640,1456447,0,0,0
2853,2014,Oaxaca,1 salario m¡nimo,29053,27991,1062,4595103,3129979,1465124,0,0,0
2854,2014,Oaxaca,Menos de 1 s.m.,2149218,1773054,376164,4595103,3129979,1465124,0,0,0
2855,2014,Oaxaca,M s de 1 hasta 2 s.m.,16705,13489,3216,4595103,3129979,1465124,0,0,0
2856,2014,Oaxaca,M s de 10 s.m.,931773,322871,608902,4595103,3129979,1465124,0,0,0
2857,2014,Oaxaca,M s de 2 hasta 3 s.m.,429782,421540,8242,4595103,3129979,1465124,0,0,0
2858,2014,Oaxaca,M s de 3 hasta 5 s.m.,732318,298708,433610,4595103,3129979,1465124,0,0,0
2859,2014,Oaxaca,M s de 5 hasta 10 s.m.,77860,61143,16717,4595103,3129979,1465124,0,0,0
2860,2014,Oaxaca,No especificado,16942,11377,5565,4595103,3129979,1465124,0,0,0
2861,2014,Oaxaca,No recibe ingresos,211452,199806,11646,4595103,3129979,1465124,0,0,0
2862,2014,Puebla,1 salario m¡nimo,16558,14798,1760,7055114,4885936,2169178,0,0,0
2863,2014,Puebla,Menos de 1 s.m.,2548393,2069288,479105,7055114,4885936,2169178,0,0,0
2864,2014,Puebla,M s de 1 hasta 2 s.m.,14510,11899,2611,7055114,4885936,2169178,0,0,0
2865,2014,Puebla,M s de 10 s.m.,1706781,696268,1010513,7055114,4885936,2169178,0,0,0
2866,2014,Puebla,M s de 2 hasta 3 s.m.,685618,666567,19051,7055114,4885936,2169178,0,0,0
2867,2014,Puebla,M s de 3 hasta 5 s.m.,1442847,867289,575558,7055114,4885936,2169178,0,0,0
2868,2014,Puebla,M s de 5 hasta 10 s.m.,227356,172390,54966,7055114,4885936,2169178,0,0,0
2869,2014,Puebla,No especificado,48969,36840,12129,7055114,4885936,2169178,0,0,0
2870,2014,Puebla,No recibe ingresos,364082,350597,13485,7055114,4885936,2169178,0,0,0
2871,2014,Queretaro,1 salario m¡nimo,9383,8809,574,1829401,1303366,526035,0,0,0
2872,2014,Queretaro,Menos de 1 s.m.,199647,179665,19982,1829401,1303366,526035,0,0,0
2873,2014,Queretaro,M s de 1 hasta 2 s.m.,18227,13213,5014,1829401,1303366,526035,0,0,0
2874,2014,Queretaro,M s de 10 s.m.,412273,184146,228127,1829401,1303366,526035,0,0,0
2875,2014,Queretaro,M s de 2 hasta 3 s.m.,321769,312354,9415,1829401,1303366,526035,0,0,0
2876,2014,Queretaro,M s de 3 hasta 5 s.m.,620717,400553,220164,1829401,1303366,526035,0,0,0
2877,2014,Queretaro,M s de 5 hasta 10 s.m.,94757,70864,23893,1829401,1303366,526035,0,0,0
2878,2014,Queretaro,No especificado,32561,21409,11152,1829401,1303366,526035,0,0,0
2879,2014,Queretaro,No recibe ingresos,120067,112353,7714,1829401,1303366,526035,0,0,0
