,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level,percentage_by_level_and_total_people_by_state_and_year,mean_by_state_and_level
144,5,17,2,4909,3755,1154,1644037,1165417,478620,76.492,23.508000000000006,1,0.299,0.28800000000000003
145,5,17,1,352219,319901,32318,1644037,1165417,478620,90.824,9.176,1,21.424,20.094
146,5,17,3,11876,9673,2203,1644037,1165417,478620,81.45,18.55,1,0.722,0.649
147,5,17,7,489074,207077,281997,1644037,1165417,478620,42.341,57.659,1,29.748,31.041
148,5,17,4,276748,272931,3817,1644037,1165417,478620,98.621,1.379,1,16.833,16.365
149,5,17,5,318541,185905,132636,1644037,1165417,478620,58.361,41.639,2,19.375999999999998,19.587
150,5,17,6,54730,40841,13889,1644037,1165417,478620,74.623,25.377,1,3.3289999999999997,3.373
151,5,17,9,16154,10956,5198,1644037,1165417,478620,67.822,32.178000000000004,0,0.983,1.165
152,5,17,8,119786,114378,5408,1644037,1165417,478620,95.485,4.515,2,7.2860000000000005,7.439
153,5,33,2,729878,643629,86249,109386613,77433489,31953124,88.18299999999998,11.817,2,0.667,0.674
154,5,33,1,24876045,21835965,3040080,109386613,77433489,31953124,87.779,12.220999999999998,1,22.741,21.496
155,5,33,3,758664,635519,123145,109386613,77433489,31953124,83.76799999999999,16.232,1,0.6940000000000001,0.657
156,5,33,7,28356171,13195820,15160351,109386613,77433489,31953124,46.536,53.464,1,25.923000000000002,26.752
157,5,33,4,13316161,12913577,402584,109386613,77433489,31953124,96.977,3.023,2,12.173,12.639000000000001
158,5,33,5,28237478,17323270,10914208,109386613,77433489,31953124,61.349,38.651,1,25.814,25.596
159,5,33,6,4622850,3384279,1238571,109386613,77433489,31953124,73.208,26.792,2,4.226,4.211
160,5,33,9,1348425,853412,495013,109386613,77433489,31953124,63.29,36.71,0,1.2329999999999999,1.268
161,5,33,8,7140941,6648018,492923,109386613,77433489,31953124,93.097,6.903,2,6.528,6.706
162,5,18,2,2598,2442,156,1036564,748356,288208,93.995,6.005,1,0.251,0.226
163,5,18,1,368549,344034,24515,1036564,748356,288208,93.348,6.652,1,35.555,33.171
164,5,18,3,6738,4605,2133,1036564,748356,288208,68.344,31.656,2,0.65,0.731
165,5,18,7,281517,110943,170574,1036564,748356,288208,39.409,60.591,1,27.159000000000002,29.415
166,5,18,4,130656,126797,3859,1036564,748356,288208,97.046,2.954,1,12.605,12.497
167,5,18,5,144481,76521,67960,1036564,748356,288208,52.963,47.037,2,13.937999999999999,14.037
168,5,18,6,43445,30998,12447,1036564,748356,288208,71.35,28.65,2,4.191,3.8539999999999996
169,5,18,9,7931,4159,3772,1036564,748356,288208,52.44,47.56,0,0.765,0.943
170,5,18,8,50649,47857,2792,1036564,748356,288208,94.488,5.5120000000000005,2,4.886,5.127000000000001
171,5,19,2,16713,13727,2986,4519131,3246525,1272606,82.134,17.866,1,0.37,0.209
172,5,19,1,192027,166325,25702,4519131,3246525,1272606,86.615,13.385,1,4.249,3.275
173,5,19,3,41090,30490,10600,4519131,3246525,1272606,74.203,25.797,1,0.909,0.858
174,5,19,7,1114766,549822,564944,4519131,3246525,1272606,49.322,50.678,1,24.668000000000003,25.211
175,5,19,4,616716,584297,32419,4519131,3246525,1272606,94.743,5.2570000000000014,2,13.647,14.652000000000001
176,5,19,5,1754098,1264616,489482,4519131,3246525,1272606,72.095,27.905,1,38.815,38.613
177,5,19,6,307985,221214,86771,4519131,3246525,1272606,71.82600000000002,28.174,2,6.815,6.21
178,5,19,9,86808,53887,32921,4519131,3246525,1272606,62.076,37.924,0,1.921,1.7690000000000001
179,5,19,8,388928,362147,26781,4519131,3246525,1272606,93.114,6.886,2,8.606,9.203
180,5,20,2,17816,15049,2767,4309845,2852419,1457426,84.469,15.531,1,0.413,0.376
181,5,20,1,2028288,1706173,322115,4309845,2852419,1457426,84.119,15.880999999999998,1,47.062,45.782
182,5,20,3,8995,7524,1471,4309845,2852419,1457426,83.646,16.354,2,0.209,0.214
183,5,20,7,813109,266171,546938,4309845,2852419,1457426,32.735,67.265,1,18.866,19.773
184,5,20,4,348404,343924,4480,4309845,2852419,1457426,98.714,1.286,2,8.084,9.482999999999999
185,5,20,5,811634,280473,531161,4309845,2852419,1457426,34.556999999999995,65.443,1,18.832,17.567
186,5,20,6,89424,57484,31940,4309845,2852419,1457426,64.283,35.717,2,2.075,1.915
187,5,20,9,21154,11728,9426,4309845,2852419,1457426,55.441,44.559,0,0.491,0.395
188,5,20,8,171021,163893,7128,4309845,2852419,1457426,95.832,4.168,2,3.968,4.495
189,5,21,2,45632,43843,1789,6524911,4341491,2183420,96.08,3.92,1,0.6990000000000001,0.355
190,5,21,1,2200394,1674824,525570,6524911,4341491,2183420,76.115,23.885,1,33.723,33.123000000000005
191,5,21,3,17466,14434,3032,6524911,4341491,2183420,82.641,17.359,2,0.268,0.33
192,5,21,7,1308002,555037,752965,6524911,4341491,2183420,42.434,57.566,1,20.046,23.336
193,5,21,4,599997,589410,10587,6524911,4341491,2183420,98.235,1.765,2,9.195,10.376
194,5,21,5,1692205,944360,747845,6524911,4341491,2183420,55.806,44.194,1,25.935,23.941999999999997
195,5,21,6,268844,168411,100433,6524911,4341491,2183420,62.643,37.357,2,4.12,3.321
196,5,21,9,62661,38440,24221,6524911,4341491,2183420,61.346,38.654,0,0.96,0.722
197,5,21,8,329710,312732,16978,6524911,4341491,2183420,94.851,5.149,1,5.053,4.496
198,5,22,2,9672,9458,214,1747355,1197635,549720,97.787,2.213,1,0.5539999999999999,0.444
199,5,22,1,259386,218408,40978,1747355,1197635,549720,84.20200000000001,15.798,1,14.844000000000001,11.126
200,5,22,3,8287,7068,1219,1747355,1197635,549720,85.29,14.71,2,0.474,0.66
201,5,22,7,408759,174472,234287,1747355,1197635,549720,42.683,57.317,2,23.393,23.373
202,5,22,4,256319,248977,7342,1747355,1197635,549720,97.136,2.864,2,14.669,16.512999999999998
203,5,22,5,597796,369333,228463,1747355,1197635,549720,61.782,38.218,2,34.211,34.951
204,5,22,6,74779,54697,20082,1747355,1197635,549720,73.145,26.855,1,4.28,4.973
205,5,22,9,19751,12136,7615,1747355,1197635,549720,61.445,38.555,0,1.13,1.454
206,5,22,8,112606,103086,9520,1747355,1197635,549720,91.546,8.454,2,6.444,6.507000000000001
207,5,23,2,3753,3753,0,986163,705001,281162,100.0,0.0,1,0.381,0.20800000000000002
208,5,23,1,134851,123244,11607,986163,705001,281162,91.393,8.607000000000001,1,13.674000000000001,12.958
209,5,23,3,11201,9769,1432,986163,705001,281162,87.215,12.785,1,1.136,0.9790000000000001
210,5,23,7,345282,160451,184831,986163,705001,281162,46.47,53.53,1,35.013000000000005,35.056
211,5,23,4,171227,165713,5514,986163,705001,281162,96.78,3.22,2,17.363,19.268
212,5,23,5,132509,81598,50911,986163,705001,281162,61.57899999999999,38.421,1,13.437000000000001,12.530999999999999
213,5,23,6,48199,37842,10357,986163,705001,281162,78.512,21.488000000000003,1,4.888,4.962
214,5,23,9,15700,9340,6360,986163,705001,281162,59.49,40.51,0,1.5919999999999999,1.8359999999999999
215,5,23,8,123441,113291,10150,986163,705001,281162,91.777,8.222999999999999,1,12.517000000000001,12.200999999999999
216,5,24,2,34512,33162,1350,2547912,1831825,716087,96.088,3.912,1,1.355,1.008
